estacao;endereco;horzulu;area
SBMA;https://www.windy.com/-5.370/-49.136?-5.538,-49.136,10,i:pressure,m:dweaeNh;3;2
SBCJ;https://www.windy.com/-6.117/-50.003?-6.285,-50.003,10,i:pressure,m:duXaeLO;3;2
SBHT;https://www.windy.com/-3.253/-52.254?-3.422,-52.254,10,i:pressure,m:dzJaeH3;3;2
SBTB;https://www.windy.com/-1.494/-56.400?-1.663,-56.400,10,i:pressure,m:dCFaeBb;3;2
SBOI;https://www.windy.com/3.853/-51.798?3.685,-51.798,10,i:pressure,m:dLAaeIP;3;2
SBBE;https://www.windy.com/-1.381/-48.473?-1.550,-48.473,10,i:pressure,m:dCQaeOn;3;2
SBMQ;https://www.windy.com/0.052/-51.073?-0.117,-51.073,10,i:pressure,m:dFgaeJ1;3;2
SBSN;https://www.windy.com/-2.423/-54.793?-2.508,-54.793,11,i:pressure,m:dA6aeDP;3;2
SBSO;https://www.windy.com/-12.482/-55.669?-12.647,-55.669,10,i:pressure,m:dkmaeCo;4;2
SBSI;https://www.windy.com/-11.892/-55.583?-12.222,-55.583,9,i:pressure,m:dllaeCw;4;2
SBAT;https://www.windy.com/-9.866/-56.104?-9.949,-56.104,11,i:pressure,m:doIaeBE;4;2
SBIH;https://www.windy.com/-4.244/-56.001?-4.328,-56.001,11,i:pressure,m:dx4aeBO;3;2
SWPI;https://www.windy.com/-2.674/-56.776?-2.759,-56.776,11,i:pressure,m:dAHaeAx;4;2
SBMY;https://www.windy.com/-5.813/-61.271?-6.485,-61.271,8,i:pressure,m:dvtaes1;4;2
SBTF;https://www.windy.com/-3.386/-64.723?-3.555,-64.723,10,i:pressure,m:dzwaeni;4;2
SBUA;https://www.windy.com/-0.148/-66.986?-0.233,-66.986,11,i:pressure,m:dEUaejw;4;2
SBEG;https://www.windy.com/-3.036/-60.057?-3.374,-60.057,9,i:pressure,m:dz5aeu3;4;2
SBBV;https://www.windy.com/2.842/-60.693?2.673,-60.693,10,i:pressure,m:dJTaetZ;4;2
