,estacao,datahora,wspd,wdir,gust,tar,prp,neb,cld,cldcb,vis,tp,datazulu
57,SBEG,2024-12-23 08:00:00,6,68,14,27,2.7,21,BKN,s,7000,TS,2024-12-23 12:00:00
58,SBEG,2024-12-23 11:00:00,4,68,15,30,2.9,21,BKN,s,7000,TS,2024-12-23 15:00:00
59,SBEG,2024-12-23 14:00:00,2,131,13,31,,3,SCT,n,9999,,2024-12-23 18:00:00
60,SBEG,2024-12-23 17:00:00,1,126,9,30,0.3,18,SCT,n,7000,,2024-12-23 21:00:00
61,SBEG,2024-12-23 20:00:00,2,338,4,28,,2,FEW,n,9999,,2024-12-24 00:00:00
62,SBEG,2024-12-23 23:00:00,2,11,4,27,,2,FEW,n,9999,,2024-12-24 03:00:00
63,SBEG,2024-12-24 02:00:00,4,32,10,25,4.5,21,BKN,s,7000,TS,2024-12-24 06:00:00
64,SBEG,2024-12-24 05:00:00,3,276,7,25,0.5,21,BKN,s,7000,TS,2024-12-24 09:00:00
65,SBEG,2024-12-24 08:00:00,5,210,11,26,1.5,21,BKN,s,7000,TS,2024-12-24 12:00:00
66,SBEG,2024-12-24 11:00:00,4,60,13,25,9,14,BKN,s,7000,TS,2024-12-24 15:00:00
67,SBEG,2024-12-24 14:00:00,2,20,12,29,0.5,20,BKN,n,4000,BR,2024-12-24 18:00:00
68,SBEG,2024-12-24 17:00:00,2,19,10,27,1.3,21,BKN,s,7000,TS,2024-12-24 21:00:00
69,SBEG,2024-12-24 20:00:00,2,334,5,26,,2,FEW,n,9999,,2024-12-25 00:00:00
70,SBEG,2024-12-24 23:00:00,0,329,3,26,,2,FEW,n,9999,,2024-12-25 03:00:00
71,SBEG,2024-12-25 02:00:00,2,260,3,25,0.3,21,BKN,s,7000,TS,2024-12-25 06:00:00
72,SBEG,2024-12-25 05:00:00,2,11,5,25,0.7,21,BKN,s,7000,TS,2024-12-25 09:00:00
73,SBEG,2024-12-25 08:00:00,3,35,8,27,,1,CAVOK,n,9999,,2024-12-25 12:00:00
74,SBEG,2024-12-25 11:00:00,3,62,12,29,1,21,BKN,s,7000,TS,2024-12-25 15:00:00
75,SBEG,2024-12-25 14:00:00,4,47,11,29,1.4,21,BKN,s,7000,TS,2024-12-25 18:00:00
76,SBEG,2024-12-25 17:00:00,4,43,11,29,0.5,21,BKN,s,7000,TS,2024-12-25 21:00:00
77,SBEG,2024-12-25 20:00:00,3,119,9,26,2.6,21,BKN,s,7000,TS,2024-12-26 00:00:00
78,SBEG,2024-12-25 23:00:00,2,115,10,25,3.7,21,BKN,s,7000,TS,2024-12-26 03:00:00
79,SBEG,2024-12-26 02:00:00,2,280,5,25,0.2,18,SCT,n,7000,,2024-12-26 06:00:00
80,SBEG,2024-12-26 05:00:00,0,289,7,24,4.2,14,BKN,s,7000,TS,2024-12-26 09:00:00
81,SBEG,2024-12-26 08:00:00,1,56,9,25,3,21,BKN,s,7000,TS,2024-12-26 12:00:00
82,SBEG,2024-12-26 11:00:00,3,42,10,28,0.4,21,BKN,s,7000,TS,2024-12-26 15:00:00
83,SBEG,2024-12-26 14:00:00,3,45,11,30,0.4,21,BKN,s,7000,TS,2024-12-26 18:00:00
84,SBEG,2024-12-26 17:00:00,3,51,11,28,0.5,21,BKN,s,7000,TS,2024-12-26 21:00:00
85,SBEG,2024-12-26 20:00:00,3,87,6,27,,2,FEW,n,9999,,2024-12-27 00:00:00
86,SBEG,2024-12-26 23:00:00,2,55,6,26,,2,FEW,n,9999,,2024-12-27 03:00:00
