estacao;endereco;horzulu;area
SBCZ;https://www.windy.com/-7.597/-72.768?icon,-7.680,-72.768,11,i:pressure,m:dsvad7S;5;2
SBTT;https://www.windy.com/-4.256/-69.936?icon,-4.340,-69.936,11,i:pressure,m:dx3aeeB;5;2
SBIZ;https://www.windy.com/-5.533/-47.459?icon,-5.617,-47.459,11,i:pressure,m:dvVaeP3;3;2
SBCI;https://www.windy.com/-7.320/-47.458?icon,-7.404,-47.458,11,i:pressure,m:dsXaeP3;3;2
SBMA;https://www.windy.com/-5.370/-49.136?icon,-5.538,-49.136,10,i:pressure,m:dweaeNh;3;2
SBCJ;https://www.windy.com/-6.117/-50.003?icon,-6.285,-50.003,10,i:pressure,m:duXaeLO;3;2
SBHT;https://www.windy.com/-3.253/-52.254?icon,-3.422,-52.254,10,i:pressure,m:dzJaeH3;3;2
SBTB;https://www.windy.com/-1.494/-56.400?icon,-1.663,-56.400,10,i:pressure,m:dCFaeBb;3;2
SBOI;https://www.windy.com/3.853/-51.798?icon,3.685,-51.798,10,i:pressure,m:dLAaeIP;3;2
SBBE;https://www.windy.com/-1.381/-48.473?icon,-1.550,-48.473,10,i:pressure,m:dCQaeOn;3;2
SBMQ;https://www.windy.com/0.052/-51.073?icon,-0.117,-51.073,10,i:pressure,m:dFgaeJ1;3;2
SBSN;https://www.windy.com/-2.423/-54.793?icon,-2.508,-54.793,11,i:pressure,m:dA6aeDP;3;2
SBSO;https://www.windy.com/-12.482/-55.669?icon,-12.647,-55.669,10,i:pressure,m:dkmaeCo;4;2
SBSI;https://www.windy.com/-11.892/-55.583?icon,-12.222,-55.583,9,i:pressure,m:dllaeCw;4;2
SBAT;https://www.windy.com/-9.871/-56.110?icon,-10.204,-56.110,9,i:pressure,m:doHaeBE;4;2
SBIH;https://www.windy.com/-4.231/-56.003?icon,-4.905,-56.003,8,i:pressure,m:dx5aeBO;3;2
SWPI;https://www.windy.com/-2.674/-56.776?icon,-2.759,-56.776,11,i:pressure,m:dAHaeAx;4;2
SBMY;https://www.windy.com/-5.813/-61.271?icon,-6.485,-61.271,8,i:pressure,m:dvtaes1;4;2
SBTF;https://www.windy.com/-3.386/-64.723?icon,-3.555,-64.723,10,i:pressure,m:dzwaeni;4;2
SBUA;https://www.windy.com/-0.148/-66.986?icon,-0.233,-66.986,11,i:pressure,m:dEUaejw;4;2
SBEG;https://www.windy.com/-3.036/-60.057?icon,-3.374,-60.057,9,i:pressure,m:dz5aeu3;4;2
SBBV;https://www.windy.com/2.842/-60.693?icon,2.673,-60.693,10,i:pressure,m:dJTaetZ;4;2
