,estacao,datahora,wspd,wdir,gust,tar,prp,neb,cld,cldcb,vis,tp,datazulu
57,SBEG,2024-12-23 08:00:00,3,180,9,28,,3,SCT,n,9999,,2024-12-23 12:00:00
58,SBEG,2024-12-23 11:00:00,3,72,15,31,0.5,21,BKN,s,7000,TS,2024-12-23 15:00:00
59,SBEG,2024-12-23 14:00:00,3,348,11,31,1.8,21,BKN,s,7000,TS,2024-12-23 18:00:00
60,SBEG,2024-12-23 17:00:00,1,254,7,31,1.1,21,BKN,s,7000,TS,2024-12-23 21:00:00
61,SBEG,2024-12-23 20:00:00,2,67,6,29,0.2,19,BKN,n,4000,BR,2024-12-24 00:00:00
62,SBEG,2024-12-23 23:00:00,0,357,6,27,2,21,BKN,s,7000,TS,2024-12-24 03:00:00
63,SBEG,2024-12-24 02:00:00,1,314,3,27,0.7,19,BKN,n,4000,BR,2024-12-24 06:00:00
64,SBEG,2024-12-24 05:00:00,1,106,5,26,1.2,21,BKN,s,7000,TS,2024-12-24 09:00:00
65,SBEG,2024-12-24 08:00:00,3,211,7,27,1.5,21,BKN,s,7000,TS,2024-12-24 12:00:00
66,SBEG,2024-12-24 11:00:00,1,128,8,30,1.2,21,BKN,s,7000,TS,2024-12-24 15:00:00
67,SBEG,2024-12-24 14:00:00,3,74,10,31,2.2,14,BKN,s,7000,TS,2024-12-24 18:00:00
68,SBEG,2024-12-24 17:00:00,4,13,10,28,7,6,BKN,n,3500,RA,2024-12-24 21:00:00
69,SBEG,2024-12-24 20:00:00,2,352,4,27,,2,FEW,n,9999,,2024-12-25 00:00:00
70,SBEG,2024-12-24 23:00:00,1,339,3,26,,2,FEW,n,9999,,2024-12-25 03:00:00
71,SBEG,2024-12-25 02:00:00,2,316,3,26,,3,SCT,n,9999,,2024-12-25 06:00:00
72,SBEG,2024-12-25 05:00:00,1,269,3,25,,17,BKN,n,3500,BR,2024-12-25 09:00:00
73,SBEG,2024-12-25 08:00:00,0,290,2,27,,3,SCT,n,9999,,2024-12-25 12:00:00
74,SBEG,2024-12-25 11:00:00,2,34,8,31,,3,SCT,n,9999,,2024-12-25 15:00:00
75,SBEG,2024-12-25 14:00:00,2,77,10,32,0.2,21,BKN,s,7000,TS,2024-12-25 18:00:00
76,SBEG,2024-12-25 17:00:00,3,39,7,29,3.6,6,BKN,n,3500,RA,2024-12-25 21:00:00
77,SBEG,2024-12-25 20:00:00,3,41,5,27,1.7,19,BKN,n,4000,BR,2024-12-26 00:00:00
78,SBEG,2024-12-25 23:00:00,1,64,3,26,0.7,19,BKN,n,4000,BR,2024-12-26 03:00:00
79,SBEG,2024-12-26 02:00:00,1,92,2,26,,3,SCT,n,9999,,2024-12-26 06:00:00
80,SBEG,2024-12-26 05:00:00,1,236,2,26,,3,SCT,n,9999,,2024-12-26 09:00:00
81,SBEG,2024-12-26 08:00:00,1,161,4,27,,3,SCT,n,9999,,2024-12-26 12:00:00
82,SBEG,2024-12-26 11:00:00,1,254,10,30,1.4,21,BKN,s,7000,TS,2024-12-26 15:00:00
83,SBEG,2024-12-26 14:00:00,2,217,10,30,7,21,BKN,s,7000,TS,2024-12-26 18:00:00
84,SBEG,2024-12-26 17:00:00,3,332,13,29,4.2,21,BKN,s,7000,TS,2024-12-26 21:00:00
85,SBEG,2024-12-26 20:00:00,2,101,4,27,3.5,6,BKN,n,3500,RA,2024-12-27 00:00:00
86,SBEG,2024-12-26 23:00:00,2,148,4,26,1.4,19,BKN,n,4000,BR,2024-12-27 03:00:00
87,SBEG,2024-12-27 02:00:00,1,209,3,26,0.4,19,BKN,n,4000,BR,2024-12-27 06:00:00
88,SBEG,2024-12-27 05:00:00,2,188,3,26,,4,SCT,n,9999,,2024-12-27 09:00:00
89,SBEG,2024-12-27 08:00:00,2,200,8,26,,4,SCT,n,9999,,2024-12-27 12:00:00
90,SBEG,2024-12-27 11:00:00,2,101,7,28,0.3,21,BKN,s,7000,TS,2024-12-27 15:00:00
91,SBEG,2024-12-27 14:00:00,2,110,11,31,0.3,21,BKN,s,7000,TS,2024-12-27 18:00:00
92,SBEG,2024-12-27 17:00:00,1,98,10,30,3.9,21,BKN,s,7000,TS,2024-12-27 21:00:00
93,SBEG,2024-12-27 20:00:00,1,122,4,27,8,6,BKN,n,3500,RA,2024-12-28 00:00:00
94,SBUA,2024-12-22 02:00:00,1,77,4,25,5,21,BKN,s,7000,TS,2024-12-22 06:00:00
95,SBUA,2024-12-22 05:00:00,1,106,5,24,6,21,BKN,s,7000,TS,2024-12-22 09:00:00
96,SBUA,2024-12-22 08:00:00,1,104,8,25,3.3,6,BKN,n,3500,RA,2024-12-22 12:00:00
97,SBUA,2024-12-22 11:00:00,1,71,4,27,2.4,19,BKN,n,4000,BR,2024-12-22 15:00:00
98,SBUA,2024-12-22 14:00:00,0,94,11,31,0.5,21,BKN,s,7000,TS,2024-12-22 18:00:00
99,SBUA,2024-12-22 17:00:00,1,75,9,30,1.4,21,BKN,s,7000,TS,2024-12-22 21:00:00
100,SBUA,2024-12-22 20:00:00,1,37,7,27,1.4,21,BKN,s,7000,TS,2024-12-23 00:00:00
101,SBUA,2024-12-22 23:00:00,1,207,1,26,,3,SCT,n,9999,,2024-12-23 03:00:00
102,SBUA,2024-12-23 02:00:00,0,169,1,25,,3,SCT,n,9999,,2024-12-23 06:00:00
103,SBUA,2024-12-23 05:00:00,1,358,9,25,0.6,19,BKN,n,4000,BR,2024-12-23 09:00:00
104,SBUA,2024-12-23 08:00:00,1,43,11,26,1.8,19,BKN,n,4000,BR,2024-12-23 12:00:00
105,SBUA,2024-12-23 11:00:00,2,29,11,27,1.2,21,BKN,s,7000,TS,2024-12-23 15:00:00
106,SBUA,2024-12-23 14:00:00,1,9,10,29,2,21,BKN,s,7000,TS,2024-12-23 18:00:00
107,SBUA,2024-12-23 17:00:00,2,65,8,28,2.7,21,BKN,s,7000,TS,2024-12-23 21:00:00
108,SBUA,2024-12-23 20:00:00,0,200,3,26,0.9,19,BKN,n,4000,BR,2024-12-24 00:00:00
109,SBUA,2024-12-23 23:00:00,1,267,2,25,,2,FEW,n,9999,,2024-12-24 03:00:00
110,SBUA,2024-12-24 02:00:00,0,48,1,24,,17,BKN,n,3500,BR,2024-12-24 06:00:00
111,SBUA,2024-12-24 05:00:00,1,354,1,24,,17,BKN,n,3500,BR,2024-12-24 09:00:00
112,SBUA,2024-12-24 08:00:00,1,339,5,25,2.7,21,BKN,s,7000,TS,2024-12-24 12:00:00
113,SBUA,2024-12-24 11:00:00,2,307,9,28,2.2,21,BKN,s,7000,TS,2024-12-24 15:00:00
114,SBUA,2024-12-24 14:00:00,2,308,9,30,0.4,21,BKN,s,7000,TS,2024-12-24 18:00:00
115,SBUA,2024-12-24 17:00:00,1,276,5,30,0.3,21,BKN,s,7000,TS,2024-12-24 21:00:00
116,SBUA,2024-12-24 20:00:00,1,71,4,27,0.5,19,BKN,n,4000,BR,2024-12-25 00:00:00
117,SBUA,2024-12-24 23:00:00,0,48,1,25,0.8,19,BKN,n,4000,BR,2024-12-25 03:00:00
118,SBUA,2024-12-25 02:00:00,1,107,3,25,,17,BKN,n,3500,BR,2024-12-25 06:00:00
119,SBUA,2024-12-25 05:00:00,1,140,5,25,0.4,19,BKN,n,4000,BR,2024-12-25 09:00:00
120,SBUA,2024-12-25 08:00:00,1,60,3,25,,3,SCT,n,9999,,2024-12-25 12:00:00
121,SBUA,2024-12-25 11:00:00,2,36,10,29,0.4,21,BKN,s,7000,TS,2024-12-25 15:00:00
122,SBUA,2024-12-25 14:00:00,1,326,9,31,0.3,21,BKN,s,7000,TS,2024-12-25 18:00:00
123,SBUA,2024-12-25 17:00:00,2,343,7,30,0.4,21,BKN,s,7000,TS,2024-12-25 21:00:00
124,SBUA,2024-12-25 20:00:00,1,109,4,27,2.5,19,BKN,n,4000,BR,2024-12-26 00:00:00
125,SBUA,2024-12-25 23:00:00,1,154,5,25,3.4,6,BKN,n,3500,RA,2024-12-26 03:00:00
126,SBUA,2024-12-26 02:00:00,1,175,4,25,3.9,6,BKN,n,3500,RA,2024-12-26 06:00:00
127,SBUA,2024-12-26 05:00:00,1,132,4,24,1,19,BKN,n,4000,BR,2024-12-26 09:00:00
128,SBUA,2024-12-26 08:00:00,2,59,5,25,4,6,BKN,n,3500,RA,2024-12-26 12:00:00
129,SBUA,2024-12-26 11:00:00,2,126,7,29,,3,SCT,n,9999,,2024-12-26 15:00:00
130,SBUA,2024-12-26 14:00:00,2,78,8,31,0.3,21,BKN,s,7000,TS,2024-12-26 18:00:00
131,SBUA,2024-12-26 17:00:00,3,78,8,30,0.2,21,BKN,s,7000,TS,2024-12-26 21:00:00
132,SBUA,2024-12-26 20:00:00,1,334,4,27,1,21,BKN,s,7000,TS,2024-12-27 00:00:00
133,SBUA,2024-12-26 23:00:00,1,222,4,26,2,21,BKN,s,7000,TS,2024-12-27 03:00:00
134,SBUA,2024-12-27 02:00:00,1,235,3,25,1.4,19,BKN,n,4000,BR,2024-12-27 06:00:00
135,SBUA,2024-12-27 05:00:00,1,184,2,25,3.3,21,BKN,s,7000,TS,2024-12-27 09:00:00
136,SBUA,2024-12-27 08:00:00,1,106,3,25,2,19,BKN,n,4000,BR,2024-12-27 12:00:00
137,SBUA,2024-12-27 11:00:00,3,127,8,28,0.9,19,BKN,n,4000,BR,2024-12-27 15:00:00
138,SBUA,2024-12-27 14:00:00,1,119,8,29,0.8,21,BKN,s,7000,TS,2024-12-27 18:00:00
139,SBUA,2024-12-27 17:00:00,1,213,5,30,,3,SCT,n,9999,,2024-12-27 21:00:00
140,SBUA,2024-12-27 20:00:00,1,131,3,27,0.3,19,BKN,n,4000,BR,2024-12-28 00:00:00
141,SBTF,2024-12-22 02:00:00,2,118,9,27,3.5,21,BKN,s,7000,TS,2024-12-22 06:00:00
142,SBTF,2024-12-22 05:00:00,3,156,6,26,1.3,21,BKN,s,7000,TS,2024-12-22 09:00:00
143,SBTF,2024-12-22 08:00:00,3,150,7,26,0.9,19,BKN,n,4000,BR,2024-12-22 12:00:00
